ID,LOCATION,NAME,IMAGE
12012120,"59.885601,17.640701",Stencirklar,https://lh5.ggpht.com/BdJo1rDjZWAh8KUqDZs2n0dj6W5bzm-b2oN85btp_XpTnacnKlqjxrdqqGwUPyDay_bnHb5ZssXqSAgnZxoG
49074213,"60.402578,17.581798",Skulptur Av J&CG Bolinder Stockholm,https://lh5.ggpht.com/jinYkTKkRJJlrsFab1icL4poWPFzbKg9AEaC1-ee7tVw6JfpvvmaxHZD3hJDnA5j9MRBe_wNbN8kFjkB0Ucm
12012128,"59.874779,17.623122",Statue near Torbjörnstorg,https://lh4.ggpht.com/vciVFqWkM32w9oCTFLMuRhFoidAKcuQE2xKceKk4-PvlYuLO44jF7t279S6IwOIW2P04Tm8RgJP1hgN4X6js4Q
3689946,"59.849132,17.705255",Iron Urn,https://lh5.ggpht.com/UBtgEcLSxHdKDVZy2jqPjV69t_U7jVHMizfUN1_rxPtIXUWdJvSbjyKRn72Jq49LsAKubUn_u-i84usdspJGOA
9669603,"59.859349,17.631189",Folkvisan,https://lh6.ggpht.com/IaDQdySgMm6iofsQIa3DN3IDB8_eDiuaiaBn7yWB-YW9CuYrqy57TZfQsKwbt_q9kjixa7Cj8Z-JkWx-r0Bq
12012005,"59.874252,17.655153",Möbius Circles,https://lh3.googleusercontent.com/VG7dYXMIGoEQ6b-Pt763Ox5Sa1mwr1HFniuF23JT_2iBc7xFhW4c0PvuVOA-mQSyOSVj1VLmEsFAFbK0CO8
9669605,"59.858554,17.638929",Stora Torget,https://lh3.googleusercontent.com/109Dz-kj1PTEWuB9a2cFvitLobI9UOLo3Tph50UzFJjai_U67IFQDS1FVk1N9OQoLVDoGxiyotzGejniPBER
3689822,"59.831492,17.670064",Buketthästarna,https://lh4.ggpht.com/eJKGfxNWN-QIIu-iEjKBro_g0atRc1Wp0ZqBac24d7MoWgMLU1NuSzd4nUeK3xbqIhCAbTxhuRUN8wT4YkU
9669840,"59.85205,17.642775",Wooden Gentleman,https://lh5.ggpht.com/jRYWnIveUqi1Lbx-ptn02gYNvVnaPqzYsQSrfb_lABuSWiWswjJ2vTEAStKotVTZgx9zvm-MFyBJH1lcEuM-
3689829,"59.769337,17.562043",Hammarskog Herrgård,https://lh3.ggpht.com/qKOD_iJ2J9wqU3XuvTwEcDs20OyCYfAv7T5CMzi2BRuEer2goCkT1jbo23OCJ81UtbtDrMC5BgF76rzCpdO7jA
36553338,"59.72689,17.787815",Knivsta Public Library,https://lh3.googleusercontent.com/uS_jpk71mZHJDLZ2BOC1hGSsup2E_-kncgVIkn22VAra_yaNuQ-NbQ-H2VYIDUUy8a6pOksoapEKVie3BryV
36553339,"59.725531,17.786603",Old Train Station Knivsta,https://lh3.ggpht.com/1mXaLToqj0H_bp88tszWMh2_VHPiAOxW9ya4aJheInOqG-HdqtUaFPqm6wR1cl1Xo1_4I4bHDJ7SVMjZESUNTw
9669964,"59.857011,17.625926",Doktorn,https://lh4.ggpht.com/bzXUdcqtYrLWaxlCdXPbxfomFM15qqPPIpWHDhND4M7VZ7JUQiWRo2eOFliHkttruFvzgrGi3Yq9IhpaZCM
49004327,"60.225395,17.704371",Deer,https://lh3.googleusercontent.com/05EldbXUuhMIDghBKl6ofj6szeEgFPvoZHzbu6sa5Q9PUDKBM1c2UPBkbHrM4MG_pkhsTK5v1oc45w3uG-26
629676,"60.347314,18.464344",Gräsökyrkan,https://lh4.ggpht.com/MZK3k1oUPHeaXkNFBaRvh7X5AhnvHO35oe6Oxea6JYjUvm82YLuQNrKPsb5xG5tvzNR61rgP5X7uCx4gMeM
12013340,"59.884068,17.500385",Börje Church,https://lh4.ggpht.com/dKvFdqc1q9fUP6nWi4QJ2q_O4c0kFnOSXU0vW8zkXbWkVTQylgjrXgT6eeUilRU-6dPMsX05nafxAmAk1xCJdQ
49019939,"60.338275,17.510729",Nathanelkyrkan,https://lh3.ggpht.com/DxV5DNeJGmAiW3Mqqm31OOXVc6eVJm82O2RzFiBxNoY4qvn8pCRdR6WohA0d1TQQS1DFgPrgoHdHaOrFOXcx
49074219,"60.559701,17.436027",Gustav Vasa,https://lh3.googleusercontent.com/FLR9j7arBZuzRqOLAOYt90aHhEQucz1EsYCTn1fv2h3oi4d0A51g_xYVirtLWez21prxr8oRBGSyEC0dhtg
49019937,"60.375157,17.549754",Tolfta Kyrka,https://lh5.ggpht.com/FfPKxRkeT_S-_gFMz4myCxNIXjXUqNm-KxkzvoywXSSoUlfgAmV0g6B75Xu7P0yd-Vz6irEAz07MJF_InNHi0A
49019938,"60.341939,17.512679",Borgenkyrkan,https://lh5.ggpht.com/fc9k_Zp3fylZG3X6BeJwpDdEf9pKT_ehvy02CPWnRk5A1WhfznXeFEav7KLrPD6gPXp9umf7q_RuPPo0sUQbiw
49019936,"60.298986,17.468532",Klockstapel,https://lh6.ggpht.com/a9AW2JvDMQEQA-gdEwBlalhKIIPPmm5ePVi_ECXNAfRboq0Fcu9TZLqh33XXvk4mQp8Uuk2KK63O7iBeBsY7Uw
3689730,"59.827296,17.683484",Fågelberget,https://lh5.ggpht.com/65kVQ9cEgIdC6EP3g6hpcxJ28hoyujRGVNZ-lcvORD8ggsDpiS7pse2zuZoNXn4mO61bRm6RHqBsyRe-hEwF
3689735,"59.826023,17.618878",Svamptorget Fountain,https://lh3.ggpht.com/9zhVnMA7fLMeiXgnZcDnpBJgRvvU6IqFV3TIc0i-lSbkkN2HZxby41R8bYWn4p9UaX5u0oLQ01whAgJdGiIkQA
12013301,"59.91315,17.575469",Ulva kvarn,https://lh4.ggpht.com/7Vkk1KMtGU-fBmR_8W0Cw8NbzvWai4QlcwOv_JGv1mIi4FvM2kVaOSEid-RxO_S-BPrNat4RUGsb6FZ4R1sbIJGduUoP1KjZkL0PaiUlHoGva9xm
