ID;LOCATION;NAME;AREA
7764598;"52.816970999999995;-2.082954";Castle & Flag Sculpture;Stafford uk
1860735;"52.755953;-2.0955";The Moat House Acton Trussell;Stafford uk
1860513;"52.655806999999996;-2.010661";Great Wyrley Park Memorial;Stafford uk
2155660;"52.628271000000005;-2.0003830000000002";Lower Farm Holy Ascension Church;Stafford uk
1024382;"52.886314999999996;-2.173769";Rock Faces Statue;Stafford uk
7764617;"52.781447;-2.201545";Village Trophy;Stafford uk
3484509;"52.985471;-2.129331";Longton Parish Church St. James;Stafford uk
30962873;"52.900119999999994;-2.145907";Stone Memorial Bench;Stafford uk
628708;"52.803909;-2.122007";Stafford Train Station;Stafford uk
3484494;"52.976363;-2.1408139999999998";The Bandstand;Stafford uk
7764547;"52.797818;-2.147102";Stafford Castle;Stafford uk
7764569;"52.806388000000005;-2.111388";East Gate Wall Remains;Stafford uk
1861028;"52.68955;-2.031905";Conduit Head -1736;Stafford uk
1861227;"52.683161000000005;-2.068933";Four Crosses;Stafford uk
4228702;"52.953735;-1.9881550000000001";The White Hart;Stafford uk
49714205;"52.710454;-1.9948110000000001";Hednesford War Memorial;Stafford uk
2155563;"52.628308;-1.968261";Pelsall Methodist Church;Stafford uk
7764539;"52.797309000000006;-2.1435910000000002";Stafford Castle Settlement Site Sign;Stafford uk
388561;"52.665822;-2.2583569999999997";White Ladies Priory;Stafford uk
10281782;"52.95565;-2.200749";Fairy Relax;Stafford uk
3484113;"52.971526;-2.180932";Post for an Old Monarch;Stafford uk
10281592;"52.943599000000006;-2.189742";Tittensor War Monument;Stafford uk
1861014;"52.661625;-2.031494";Cheslyn Hay Cenotaph;Stafford uk
2155679;"52.631761;-2.1247949999999998";The Moreton Arms;Stafford uk
49892983;"52.676828;-2.025299";Virage Park Clock Tower;Stafford uk
10281776;"52.94242;-2.168192";Barlaston Railway Station;Stafford uk
1860962;"52.663443;-1.952979";Historic Steam Plough;Stafford uk
49864599;"52.799169000000006;-2.131188";Highfield Manor Entrance;Stafford uk
10281788;"52.958518;-2.198617";Diving Otters;Stafford uk
10281577;"52.95168;-2.171062";Wedgwood Railway Station;Stafford uk
7764604;"52.788076000000004;-2.119215";Rising Brook Baptist Church;Stafford uk
30962752;"52.916377;-2.2220400000000002";Our Lady of the Assumption Church;Stafford uk
17495081;"52.671499000000004;-2.242002";Boscobel House - Royal Oak;Stafford uk
7764550;"52.808167;-2.101034";St John the Baptist;Stafford uk
10281578;"52.952731;-2.166277";Wedgwood Cricket Pavilion;Stafford uk
7764473;"52.796363;-2.140834";Borough Boundary Marker;Stafford uk
3484519;"52.979152;-2.119836";Normacot Centenary Garden;Stafford uk
1860284;"52.649052000000005;-2.030137";Strawberry Lane Cemetery;Stafford uk
7764664;"52.794965000000005;-2.013514";Temple of the Winds, Shugborough;Stafford uk
1860670;"52.746258;-2.030762";Katyn Memorial;Stafford uk
7764430;"52.805253;-2.117591";The Black Clock;Stafford uk
2155566;"52.627227;-1.965604";Pelsall Community Centre;Stafford uk
1861198;"52.697446;-2.048358";Bundle Beeches;Stafford uk
1861011;"52.684529000000005;-2.03301";The Crystal Fountain;Stafford uk
30962895;"52.903513000000004;-2.148549";The Poste of Stone;Stafford uk
7764586;"52.800829;-2.114782";The Star and Garter;Stafford uk
7764606;"52.825056;-2.065674";Bingley Hall;Stafford uk
7764508;"52.761039;-2.031043";Glacial Boulder, Cannock Chase;Stafford uk
10282129;"52.943112;-2.158998";Barlaston War Memorial;Stafford uk
10281940;"52.963986999999996;-2.198463";The Six Arches;Stafford uk
7764612;"52.861307999999994;-2.078204";War Memorial, Sandon;Stafford uk
1860964;"52.661703;-1.9446240000000001";Rangers Ranch;Stafford uk
1860482;"52.66470699999999;-1.9678740000000001";Norton Canes Fountains;Stafford uk
10281748;"52.966655;-2.192028";Longton Walk Way Entrance;Stafford uk
1860542;"52.686862999999995;-2.02181";Cannock Railway Station;Stafford uk
7764555;"52.818188;-2.113725";Astonfields Balancing Lakes and Nature Reserve;Stafford uk
1860516;"52.660094;-2.0327990000000002";Salem Methodist Church;Stafford uk
1860540;"52.68729999999999;-2.020674";Mill Green And Hawks Green Info Board;Stafford uk
7764480;"52.803072;-2.032969";St John's, Tixall;Stafford uk
470917;"52.781704999999995;-2.200605";Parish Church of St Giles;Stafford uk
